"filename", "language", "C++", "Markdown", "comment", "blank", "total"
"c:\Users\Jerem\projects\C-INTRO\Bro code lesson 1\BroCodeLes1.cpp", "C++", 32, 0, 5, 11, 48
"c:\Users\Jerem\projects\C-INTRO\Bro code lesson 2\Lesson2.cpp", "C++", 13, 0, 7, 6, 26
"c:\Users\Jerem\projects\C-INTRO\Bro code lesson 2\Lesson3.cpp", "C++", 15, 0, 8, 7, 30
"c:\Users\Jerem\projects\C-INTRO\Bro code lesson 2\Lesson4.cpp", "C++", 11, 0, 6, 3, 20
"c:\Users\Jerem\projects\C-INTRO\Bro code lesson 2\UseWhatILearn.cpp", "C++", 52, 0, 6, 18, 76
"c:\Users\Jerem\projects\C-INTRO\CHP_1_C++_TEXT_BOOK\Exercises.README.md", "Markdown", 0, 74, 0, 13, 87
"c:\Users\Jerem\projects\C-INTRO\CHP_1_C++_TEXT_BOOK\Notes.README.md", "Markdown", 0, 40, 0, 29, 69
"c:\Users\Jerem\projects\C-INTRO\CHP_1_C++_TEXT_BOOK\Review_Questions.README.md", "Markdown", 0, 51, 0, 21, 72
"c:\Users\Jerem\projects\C-INTRO\CHP_1_C++_TEXT_BOOK\exerciseQuestion.cpp", "C++", 34, 0, 2, 6, 42
"c:\Users\Jerem\projects\C-INTRO\CHP_1_C++_TEXT_BOOK\hello_world.cpp", "C++", 5, 0, 0, 2, 7
"c:\Users\Jerem\projects\C-INTRO\CHP_2_C++_TEXT_BOOK\CHP_2_DRILLS.cpp", "C++", 38, 0, 2, 12, 52
"c:\Users\Jerem\projects\C-INTRO\CHP_2_C++_TEXT_BOOK\CHP_2_Exercises.README.md", "Markdown", 0, 109, 0, 50, 159
"c:\Users\Jerem\projects\C-INTRO\CHP_2_C++_TEXT_BOOK\CHP_2_Exercises.cpp", "C++", 292, 0, 32, 34, 358
"c:\Users\Jerem\projects\C-INTRO\CHP_2_C++_TEXT_BOOK\CHP_2_Notes.README.md", "Markdown", 0, 77, 0, 38, 115
"c:\Users\Jerem\projects\C-INTRO\CHP_2_C++_TEXT_BOOK\CHP_2_REVIEW_QUESTIONS.README.md", "Markdown", 0, 146, 0, 85, 231
"c:\Users\Jerem\projects\C-INTRO\CHP_2_C++_TEXT_BOOK\CHP_NOTES.cpp", "C++", 75, 0, 16, 16, 107
"c:\Users\Jerem\projects\C-INTRO\CHP_2_C++_TEXT_BOOK\DRILLS.README.md", "Markdown", 0, 17, 0, 3, 20
"c:\Users\Jerem\projects\C-INTRO\CHP_3_C++\CHP_3_DRILLS.cpp", "C++", 5, 0, 6, 2, 13
"c:\Users\Jerem\projects\C-INTRO\CHP_3_C++\CHP_3_NOTES.README.md", "Markdown", 0, 133, 0, 31, 164
"c:\Users\Jerem\projects\C-INTRO\CHP_3_C++\CHP_3_NOTES.cpp", "C++", 81, 0, 18, 23, 122
"c:\Users\Jerem\projects\C-INTRO\NoteFromTheAuthor.README.md", "Markdown", 0, 19, 0, 5, 24
"c:\Users\Jerem\projects\C-INTRO\Overall concepts from coding\ForLoopProjects.cpp", "C++", 45, 0, 51, 18, 114
"c:\Users\Jerem\projects\C-INTRO\Overall concepts from coding\ForLoops.README.md", "Markdown", 0, 45, 0, 20, 65
"c:\Users\Jerem\projects\C-INTRO\Overall concepts from coding\ForLoops.cpp", "C++", 178, 0, 22, 31, 231
"c:\Users\Jerem\projects\C-INTRO\Overall concepts from coding\InputInfo.cpp", "C++", 17, 0, 0, 6, 23
"c:\Users\Jerem\projects\C-INTRO\Overall concepts from coding\StringLength.cpp", "C++", 39, 0, 13, 18, 70
"c:\Users\Jerem\projects\C-INTRO\Overall concepts from coding\UserInput.cpp", "C++", 7, 0, 0, 5, 12
"c:\Users\Jerem\projects\C-INTRO\TERMS_AND_USEFUL.README.md", "Markdown", 0, 15, 0, 4, 19
"c:\Users\Jerem\projects\C-INTRO\USEFUL_LOGIC_CHUNKS.cpp", "C++", 7, 0, 2, 2, 11
"c:\Users\Jerem\projects\C-INTRO\helloworld\HelloWorld.cpp", "C++", 10, 0, 0, 2, 12
"Total", "-", 956, 726, 196, 521, 2399
