"filename", "language", "Markdown", "C++", "comment", "blank", "total"
"c:\Users\Jerem\projects\C-INTRO\CHP_3_C++\CHP_3_DRILLS.cpp", "C++", 0, -5, -6, -2, -13
"c:\Users\Jerem\projects\C-INTRO\CHP_3_C++\CHP_3_NOTES.README.md", "Markdown", -133, 0, 0, -31, -164
"c:\Users\Jerem\projects\C-INTRO\CHP_3_C++\CHP_3_NOTES.cpp", "C++", 0, -109, -22, -30, -161
"c:\Users\Jerem\projects\C-INTRO\CHP_3_C++\NOTES_ON_PHONE.README.md", "Markdown", -36, 0, 0, -40, -76
"c:\Users\Jerem\projects\C-INTRO\CHP_3_C++_TEXT_BOOK\CHP_3_DRILLS.cpp", "C++", 0, 5, 6, 2, 13
"c:\Users\Jerem\projects\C-INTRO\CHP_3_C++_TEXT_BOOK\CHP_3_DRILL_README.md", "Markdown", 36, 0, 0, 14, 50
"c:\Users\Jerem\projects\C-INTRO\CHP_3_C++_TEXT_BOOK\CHP_3_EXERCISES.README.md", "Markdown", 0, 0, 0, 1, 1
"c:\Users\Jerem\projects\C-INTRO\CHP_3_C++_TEXT_BOOK\CHP_3_NOTES.README.md", "Markdown", 133, 0, 0, 31, 164
"c:\Users\Jerem\projects\C-INTRO\CHP_3_C++_TEXT_BOOK\CHP_3_NOTES.cpp", "C++", 0, 109, 24, 30, 163
"c:\Users\Jerem\projects\C-INTRO\CHP_3_C++_TEXT_BOOK\CHP_3_REVIEW_QUESTIONS.README.md", "Markdown", 100, 0, 0, 83, 183
"c:\Users\Jerem\projects\C-INTRO\CHP_3_C++_TEXT_BOOK\NOTES_ON_PHONE.README.md", "Markdown", 36, 0, 0, 40, 76
"Total", "-", 136, 0, 2, 98, 236
