"filename", "language", "Markdown", "C++", "comment", "blank", "total"
"c:\Users\Jerem\projects\C-INTRO\Bro code lesson 1\BroCodeLes1.cpp", "C++", 0, 32, 5, 11, 48
"c:\Users\Jerem\projects\C-INTRO\Bro code lesson 2\Lesson2.cpp", "C++", 0, 13, 7, 6, 26
"c:\Users\Jerem\projects\C-INTRO\Bro code lesson 2\Lesson3.cpp", "C++", 0, 15, 8, 7, 30
"c:\Users\Jerem\projects\C-INTRO\Bro code lesson 2\Lesson4.cpp", "C++", 0, 11, 6, 3, 20
"c:\Users\Jerem\projects\C-INTRO\Bro code lesson 2\UseWhatILearn.cpp", "C++", 0, 52, 6, 18, 76
"c:\Users\Jerem\projects\C-INTRO\CHP_1_C++_TEXT_BOOK\Exercises.README.md", "Markdown", 74, 0, 0, 13, 87
"c:\Users\Jerem\projects\C-INTRO\CHP_1_C++_TEXT_BOOK\Notes.README.md", "Markdown", 40, 0, 0, 29, 69
"c:\Users\Jerem\projects\C-INTRO\CHP_1_C++_TEXT_BOOK\Review_Questions.README.md", "Markdown", 51, 0, 0, 21, 72
"c:\Users\Jerem\projects\C-INTRO\CHP_1_C++_TEXT_BOOK\exerciseQuestion.cpp", "C++", 0, 34, 2, 6, 42
"c:\Users\Jerem\projects\C-INTRO\CHP_1_C++_TEXT_BOOK\hello_world.cpp", "C++", 0, 5, 0, 2, 7
"c:\Users\Jerem\projects\C-INTRO\CHP_2_C++_TEXT_BOOK\CHP_2_DRILLS.cpp", "C++", 0, 38, 2, 12, 52
"c:\Users\Jerem\projects\C-INTRO\CHP_2_C++_TEXT_BOOK\CHP_2_Exercises.README.md", "Markdown", 109, 0, 0, 50, 159
"c:\Users\Jerem\projects\C-INTRO\CHP_2_C++_TEXT_BOOK\CHP_2_Exercises.cpp", "C++", 0, 292, 32, 34, 358
"c:\Users\Jerem\projects\C-INTRO\CHP_2_C++_TEXT_BOOK\CHP_2_Notes.README.md", "Markdown", 77, 0, 0, 38, 115
"c:\Users\Jerem\projects\C-INTRO\CHP_2_C++_TEXT_BOOK\CHP_2_REVIEW_QUESTIONS.README.md", "Markdown", 146, 0, 0, 85, 231
"c:\Users\Jerem\projects\C-INTRO\CHP_2_C++_TEXT_BOOK\CHP_NOTES.cpp", "C++", 0, 75, 16, 16, 107
"c:\Users\Jerem\projects\C-INTRO\CHP_2_C++_TEXT_BOOK\DRILLS.README.md", "Markdown", 17, 0, 0, 3, 20
"c:\Users\Jerem\projects\C-INTRO\CHP_3_C++_TEXT_BOOK\CHP_3_DRILLS.cpp", "C++", 0, 5, 6, 2, 13
"c:\Users\Jerem\projects\C-INTRO\CHP_3_C++_TEXT_BOOK\CHP_3_DRILL_README.md", "Markdown", 36, 0, 0, 14, 50
"c:\Users\Jerem\projects\C-INTRO\CHP_3_C++_TEXT_BOOK\CHP_3_EXERCISES.README.md", "Markdown", 0, 0, 0, 1, 1
"c:\Users\Jerem\projects\C-INTRO\CHP_3_C++_TEXT_BOOK\CHP_3_NOTES.README.md", "Markdown", 133, 0, 0, 31, 164
"c:\Users\Jerem\projects\C-INTRO\CHP_3_C++_TEXT_BOOK\CHP_3_NOTES.cpp", "C++", 0, 109, 24, 30, 163
"c:\Users\Jerem\projects\C-INTRO\CHP_3_C++_TEXT_BOOK\CHP_3_REVIEW_QUESTIONS.README.md", "Markdown", 100, 0, 0, 83, 183
"c:\Users\Jerem\projects\C-INTRO\CHP_3_C++_TEXT_BOOK\NOTES_ON_PHONE.README.md", "Markdown", 36, 0, 0, 40, 76
"c:\Users\Jerem\projects\C-INTRO\NoteFromTheAuthor.README.md", "Markdown", 19, 0, 0, 5, 24
"c:\Users\Jerem\projects\C-INTRO\Overall concepts from coding\ForLoopProjects.cpp", "C++", 0, 45, 51, 18, 114
"c:\Users\Jerem\projects\C-INTRO\Overall concepts from coding\ForLoops.README.md", "Markdown", 45, 0, 0, 20, 65
"c:\Users\Jerem\projects\C-INTRO\Overall concepts from coding\ForLoops.cpp", "C++", 0, 178, 22, 31, 231
"c:\Users\Jerem\projects\C-INTRO\Overall concepts from coding\InputInfo.cpp", "C++", 0, 17, 0, 6, 23
"c:\Users\Jerem\projects\C-INTRO\Overall concepts from coding\StringLength.cpp", "C++", 0, 39, 13, 18, 70
"c:\Users\Jerem\projects\C-INTRO\Overall concepts from coding\UserInput.cpp", "C++", 0, 7, 0, 5, 12
"c:\Users\Jerem\projects\C-INTRO\TERMS_AND_USEFUL.README.md", "Markdown", 15, 0, 0, 4, 19
"c:\Users\Jerem\projects\C-INTRO\USEFUL_LOGIC_CHUNKS.cpp", "C++", 0, 7, 2, 2, 11
"c:\Users\Jerem\projects\C-INTRO\helloworld\HelloWorld.cpp", "C++", 0, 10, 0, 2, 12
"Total", "-", 898, 984, 202, 666, 2750
